id_coupure,date_publication,date_debut,heure_debut,date_fin,heure_fin,duree_minutes,annee,mois,jour_semaine,periode_journee,region,province,ville,zone,latitude,longitude,type_coupure,cause,statut,source_name,source_type,url_source,niveau_confiance,niveau_impact,temperature_max,precipitation,irradiation_solaire,duree_heures,coupure_longue,debut_datetime,heure_num,jour_num,weekend,classe_duree,risque_zone
1,2021-11-03,2021-11-06,10:30,2021-11-06,13:30,180,2021,11,Saturday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,raccordement nouveaux postes,terminée,Donnée expérimentale,simulation,,0.2,moyen,31.6,0.0,4.53,3.0,False,2021-11-06 10:30:00,10,5,True,moyenne,23
2,2024-10-16,2024-10-19,09:00,2024-10-19,10:00,60,2024,10,Saturday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,imprévue,travaux entretien réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,42.4,0.0,5.74,1.0,False,2024-10-19 09:00:00,9,5,True,courte,9
3,2021-04-19,2021-04-19,06:00,2021-04-19,07:30,90,2021,4,Monday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,imprévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,39.2,0.0,6.03,1.5,False,2021-04-19 06:00:00,6,0,False,moyenne,24
4,2025-04-08,2025-04-08,07:00,2025-04-08,10:00,180,2025,4,Tuesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,surcharge du réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,36.8,1.2,5.39,3.0,False,2025-04-08 07:00:00,7,1,False,moyenne,56
5,2023-10-26,2023-10-29,14:00,2023-10-29,19:00,300,2023,10,Sunday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,surcharge du réseau,terminée,Donnée expérimentale,simulation,,0.2,élevé,34.4,1.5,6.15,5.0,True,2023-10-29 14:00:00,14,6,True,longue,17
6,2025-07-24,2025-07-24,07:00,2025-07-24,12:00,300,2025,7,Thursday,matin,Centre,Kadiogo,Ouagadougou,Bendogo,12.373,-1.44,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,élevé,37.8,1.7,6.42,5.0,True,2025-07-24 07:00:00,7,3,False,longue,6
7,2023-09-22,2023-09-23,09:00,2023-09-23,11:00,120,2023,9,Saturday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,perturbation,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,31.2,5.0,6.01,2.0,False,2023-09-23 09:00:00,9,5,True,moyenne,25
8,2022-09-13,2022-09-16,20:00,2022-09-17,01:00,300,2022,9,Friday,soir,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,imprévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,31.3,2.3,4.66,5.0,True,2022-09-16 20:00:00,20,4,False,longue,28
9,2024-07-24,2024-07-26,06:00,2024-07-26,07:00,60,2024,7,Friday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,maintenance programmée,terminée,Signalement utilisateur,terrain,,0.55,faible,31.4,4.0,6.57,1.0,False,2024-07-26 06:00:00,6,4,False,courte,26
10,2021-09-08,2021-09-11,06:00,2021-09-11,08:00,120,2021,9,Saturday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,maintenance programmée,terminée,Donnée expérimentale,simulation,,0.2,moyen,41.6,2.7,5.34,2.0,False,2021-09-11 06:00:00,6,5,True,moyenne,24
11,2021-09-20,2021-09-22,16:30,2021-09-22,20:30,240,2021,9,Wednesday,après-midi,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,29.1,0.0,4.55,4.0,True,2021-09-22 16:30:00,16,2,False,moyenne,25
