id_coupure,date_publication,date_debut,heure_debut,date_fin,heure_fin,duree_minutes,annee,mois,jour_semaine,periode_journee,region,province,ville,zone,latitude,longitude,type_coupure,cause,statut,source_name,source_type,url_source,niveau_confiance,niveau_impact,temperature_max,precipitation,irradiation_solaire
1,2021-11-03,2021-11-06,10:30,2021-11-06,13:30,180,2021,11,Saturday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,raccordement nouveaux postes,terminée,Donnée expérimentale,simulation,,0.2,moyen,31.6,0,4.53
2,2024-10-16,2024-10-19,09:00,2024-10-19,10:00,60,2024,10,Saturday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,imprévue,travaux entretien réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,42.4,0,5.74
3,2021-04-19,2021-04-19,06:00,2021-04-19,07:30,90,2021,4,Monday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,imprévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,39.2,0,6.03
4,2025-04-08,2025-04-08,07:00,2025-04-08,10:00,180,2025,4,Tuesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,surcharge du réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,36.8,1.2,5.39
5,2023-10-26,2023-10-29,14:00,2023-10-29,19:00,300,2023,10,Sunday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,surcharge du réseau,terminée,Donnée expérimentale,simulation,,0.2,élevé,34.4,1.5,6.15
6,2025-07-24,2025-07-24,07:00,2025-07-24,12:00,300,2025,7,Thursday,matin,Centre,Kadiogo,Ouagadougou,Bendogo,12.373,-1.44,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,élevé,37.8,1.7,6.42
7,2023-09-22,2023-09-23,09:00,2023-09-23,11:00,120,2023,9,Saturday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,perturbation,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,31.2,5.0,6.01
8,2022-09-13,2022-09-16,20:00,2022-09-17,01:00,300,2022,9,Friday,soir,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,imprévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,31.3,2.3,4.66
9,2024-07-24,2024-07-26,06:00,2024-07-26,07:00,60,2024,7,Friday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,maintenance programmée,terminée,Signalement utilisateur,terrain,,0.55,faible,31.4,4.0,6.57
10,2021-09-08,2021-09-11,06:00,2021-09-11,08:00,120,2021,9,Saturday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,maintenance programmée,terminée,Donnée expérimentale,simulation,,0.2,moyen,41.6,2.7,5.34
11,2021-09-20,2021-09-22,16:30,2021-09-22,20:30,240,2021,9,Wednesday,après-midi,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,29.1,0,4.55
12,2023-08-27,2023-08-28,20:30,2023-08-29,00:30,240,2023,8,Monday,soir,Sud-Ouest,,Gaoua,Centre-ville,10.328,-3.178,prévue,travaux entretien réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,34.6,0,4.93
13,2025-01-02,2025-01-04,07:00,2025-01-04,11:00,240,2025,1,Saturday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,37.7,2.7,4.96
14,2026-03-02,2026-03-02,20:00,2026-03-02,21:00,60,2026,3,Monday,soir,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,31.5,5.6,6.14
15,2022-10-30,2022-11-01,06:00,2022-11-01,12:00,360,2022,11,Tuesday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,perturbation,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.7,1.5,5.88
16,2025-09-11,2025-09-12,18:00,2025-09-12,22:00,240,2025,9,Friday,soir,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,orage ou intempéries,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,33.6,1.1,4.96
17,2020-09-21,2020-09-24,07:00,2020-09-24,08:30,90,2020,9,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,imprévue,travaux entretien réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,38.5,0.6,5.68
18,2024-06-30,2024-07-02,06:00,2024-07-02,12:00,360,2024,7,Tuesday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,perturbation,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,34.7,0,5.48
19,2022-08-26,2022-08-26,12:30,2022-08-26,15:30,180,2022,8,Friday,après-midi,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,35.9,0.2,6.29
20,2022-12-09,2022-12-09,16:30,2022-12-09,20:30,240,2022,12,Friday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,33.4,0,5.4
21,2021-08-15,2021-08-18,08:00,2021-08-18,12:00,240,2021,8,Wednesday,matin,Centre,Kadiogo,Ouagadougou,Karpala,12.317,-1.493,perturbation,surcharge du réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,42.8,3.3,5.5
22,2023-10-03,2023-10-05,10:00,2023-10-05,11:00,60,2023,10,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,travaux,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,41.6,0.1,5.67
23,2022-08-31,2022-09-03,14:00,2022-09-03,20:00,360,2022,9,Saturday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,imprévue,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,32.9,2.9,5.13
24,2022-02-10,2022-02-10,12:00,2022-02-10,13:00,60,2022,2,Thursday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,38.8,2.8,5.05
25,2020-02-01,2020-02-01,07:00,2020-02-01,10:00,180,2020,2,Saturday,matin,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,37.0,2.9,6.43
26,2023-06-15,2023-06-18,14:00,2023-06-18,17:00,180,2023,6,Sunday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,perturbation,travaux entretien réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,38.2,0,4.67
27,2024-11-16,2024-11-19,08:00,2024-11-19,16:00,480,2024,11,Tuesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,imprévue,orage ou intempéries,terminée,Signalement utilisateur,terrain,,0.55,élevé,38.5,1.2,5.16
28,2020-02-06,2020-02-07,07:00,2020-02-07,08:30,90,2020,2,Friday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,incident technique,terminée,Faso Actu,media,https://faso-actu.info/,0.75,faible,29.8,1.6,4.59
